id,pdes,spkid,full_name,name,albedo,pha,H,spec_B,spec_T,e,a,i,om,w,ma,epoch_mjd,GM
bK15C01H,"2015 CH1",3709968,"       (2015 CH1)",,,N,25.2,,,.4596446139034482,1.821247382682509,7.072730901471548,321.741546799164,129.5308508735472,19.65094118692503,57068,
bK15C03O,"2015 CO3",3710019,"       (2015 CO3)",,,N,21.3,,,.2878143369643201,1.448310996198768,26.06807364365468,147.8141386199102,290.5840257441073,183.8104642042123,58600,
bK15C03P,"2015 CP3",3710018,"       (2015 CP3)",,,N,21.4,,,.5063590151576642,2.575352606285661,2.495106771710137,341.6521118912229,212.9414911162316,349.8009987357408,58600,
bK15C12Q,"2015 CQ12",3710020,"       (2015 CQ12)",,,N,22.6,,,.3844044195874657,1.040584874570893,7.552208676146222,134.0778400407663,223.7770347241992,96.72814129833066,58600,
bK15C12V,"2015 CV12",3710158,"       (2015 CV12)",,,N,22.1,,,.5221178255879591,2.714515948506755,10.09592640638088,308.124531948518,190.186721951999,338.8779399117954,58600,
bK15C12W,"2015 CW12",3710159,"       (2015 CW12)",,,N,23.0,,,.3140167044213584,1.524187884019017,5.801854219119848,146.0436756624043,51.39299937383098,57.56469315198081,58600,
bK15C12X,"2015 CX12",3710160,"       (2015 CX12)",,,Y,20.0,,,.6099946825482312,2.003741623147254,5.744565492310473,196.1018751905215,227.2685632987027,193.7790455056661,58600,
bK15C12Y,"2015 CY12",3710161,"       (2015 CY12)",,,N,22.2,,,.5489419362942793,1.357979688715047,29.09704374214556,317.6445851295523,82.81344074708547,40.67922282852884,57066,
bK15C12Z,"2015 CZ12",3710164,"       (2015 CZ12)",,,N,25.4,,,.4263167470679453,1.660584852248322,5.66156223470703,325.8884466355375,133.0213989928174,18.13177493345931,57068,
bK15C13G,"2015 CG13",3710215,"       (2015 CG13)",,,N,24.1,,,.9165618421050239,2.508423078233101,7.125943889162663,133.8075555812879,228.9255048394827,12.68583104500305,57071,
bK15C13H,"2015 CH13",3710219,"       (2015 CH13)",,,N,28.6,,,.5577625415647331,1.616717459778496,2.847650485672508,141.0848235975342,284.1027130454697,23.66703736056774,57066,
bK15C13J,"2015 CJ13",3710217,"       (2015 CJ13)",,,N,24.0,,,.3796295378347944,.9792846905133296,19.01045131485187,324.8344279058495,295.8654473674504,45.81106737550295,58600,
bK15C13K,"2015 CK13",3710216,"       (2015 CK13)",,,N,27.2,,,.1672322198829411,1.193508984002358,16.69908380738012,324.7854415166519,204.0416457491267,61.58755571426843,58600,
bK15C13L,"2015 CL13",3710218,"       (2015 CL13)",,,N,25.7,,,.4926069423270529,1.627121349053891,11.06063410468412,327.1668476623418,238.7550977129579,347.1019679061955,58600,
bK15C13M,"2015 CM13",3710223,"       (2015 CM13)",,,N,23.5,,,.5743096756546773,2.161796500532918,11.25901312467069,134.5994606545484,325.3061157754812,126.4410930662051,58600,
bK15C13N,"2015 CN13",3710222,"       (2015 CN13)",,,N,23.3,,,.4257679392344266,1.730121418606608,8.976362780245719,340.0112370688122,204.1486658499575,288.7356400792349,58600,
bK15C13O,"2015 CO13",3710237,"       (2015 CO13)",,,N,24.0,,,.672770651957496,1.991776608854995,3.119241284349439,118.7561841458534,117.5950553500099,340.5250970293652,57068,
bK15C13P,"2015 CP13",3710225,"       (2015 CP13)",,,N,19.8,,,.664262957780928,2.435558397948036,8.848602781086806,68.19108713257937,.2989017142455282,52.02771783029447,58600,
bK15C13Q,"2015 CQ13",3710224,"       (2015 CQ13)",,,N,25.7,,,.4880375294847835,1.94554363476586,2.374517528794457,344.7004260418192,173.6598614995747,192.4574003270558,58600,
bK15C13T,"2015 CT13",3710226,"       (2015 CT13)",,,N,26.0,,,.2848836893370961,1.343130467021947,7.993227249981643,143.3723333321696,330.5037282886294,267.7829112041666,58600,
bK15C13U,"2015 CU13",3710227,"       (2015 CU13)",,,N,23.6,,,.1046056493193529,1.113008789654951,47.81189822972541,325.0598337902114,247.158771490392,303.5116076384418,57069,
bK15C13V,"2015 CV13",3710228,"       (2015 CV13)",,,Y,20.4,,,.2881566176811848,1.338249032521187,13.03945932279318,124.8240114302693,132.4832397951085,173.562236119111,58600,
bK15C13W,"2015 CW13",3710229,"       (2015 CW13)",,,N,22.9,,,.3303932260913406,1.432544823701286,2.776689958599725,5.563191233553952,203.8630355617796,125.0126190939127,58600,
